HELUT encrypted-netlist bench · SING
  netlist: picorv32_lut6_netlist.json  module=picorv32
  poly N=1024  LUTs=2006  DFFs=1565  sequential  2N=2048
  stimuli=1 (max --vectors 1)  cpu-only=false  metal-netlist-only=false
  paths filter: public-ms covering-b1
  paths: public-ms@boolean + public-ms@crypto + secret@crypto (+ Metal)
  BK noise inject Gaussian σ=128.0 (torus; measured identity residual → B_bk)
  boolean scale kδ  k=7  (test-poly stride 7; public-MS native δ)
  DynamicRotateCost mux=2099200 binary=11275 speedup≈186.2×

  starting blind-rotate-metal public-ms covering-b1
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=1/16 bits=0..<64
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=2/16 bits=64..<128
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=3/16 bits=128..<192
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=4/16 bits=192..<256
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=5/16 bits=256..<320
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=6/16 bits=320..<384
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=7/16 bits=384..<448
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=8/16 bits=448..<512
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=9/16 bits=512..<576
BR tile=10/16 bits=576..<640
