priority,crib_id,exact_string,length,allowed_offset_count,allowed_offsets_1_based,attestation_tier,date,family,scenario,sender,recipient,known_key,source,status,use_note
1,C086,FUNKSPRUCHMITUHRZEITGRUPPE,26,13,4;11;18;19;20;24;26;29;32;39;41;43;44,TIER 1 — DIRECT,1945-05-01/02,routine radio procedure,"A,B,C,E",Funkleitung,sender of P1030700,Potsdam 1 May,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030709,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
2,C090,NEUVERSCHLUESSELTABSET,22,16,4;6;11;15;16;17;20;25;27;34;37;44;47;49;50;51,TIER 1 — DIRECT,1945-05-01/02,communication failure / frequency change,"A,B,C,E",Funkleitung,sender of P1030700,Potsdam 1 May,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030709,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
3,C087,HIERSEHRVERSTUEMMELT,20,18,1;3;12;13;18;25;27;29;31;32;34;35;39;45;46;51;52;53,TIER 1 — DIRECT,1945-05-01/02,communication failure / frequency change,"A,B,B2,C,E",Funkleitung,sender of P1030700,Potsdam 1 May,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030709,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
4,C088,GRUPPEVOLLKOMMENUNKLAR,22,24,1;3;4;5;9;11;12;14;15;19;23;24;25;27;31;34;38;41;43;44;46;47;49;51,TIER 1 — DIRECT,1945-05-01/02,communication failure / frequency change,"A,B,C,E",Funkleitung,sender of P1030700,Potsdam 1 May,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030709,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
5,C079,WARTEAUFUUULEITSTELLE,21,20,2;3;6;8;11;16;20;24;28;31;32;34;36;38;40;42;44;48;50;51,TIER 1 — DIRECT,1945-04-30/1945-05-01,routine radio procedure,"A,B,B2,C",5. U-Fl.,U-2517,solved U-534 corpus,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=ULTRA,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
6,C083,ZUMWEITERMARSCH,15,34,2;3;5;10;11;13;14;15;24;25;26;27;28;29;31;33;34;36;37;38;39;41;44;45;46;47;48;49;50;51;54;56;57;58,TIER 1 — DIRECT,1945-05-01/02,boat movement / transfer,"B,C",U-534 Nollau,5. U-Fl.,Potsdam 1 May,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030706,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
7,C029,NORWEGENKARTEN,14,33,2;4;6;10;11;12;13;14;16;18;20;22;24;26;28;31;32;34;35;36;39;40;42;43;44;45;46;47;51;54;56;57;59,TIER 1 — DIRECT,1945-05-01,boat movement / transfer,"B,C",Otto Wünsche,Kom.Adm.U-Boote; FdU Ausbildung,Potsdam (1 May),https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030693,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
8,C046,WEITEREBEFEHLE,14,35,2;6;8;11;13;14;15;16;17;18;20;21;27;28;30;31;32;34;35;36;37;39;42;44;45;47;48;49;50;51;52;53;54;57;59,TIER 1 — DIRECT,1945-05-01,training / tactical exercise,"A,B,C",FdU Ausbildung,TF 24,Potsdam (1 May),https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030698,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
9,C047,BEFEHLEATWART,13,36,1;2;3;4;6;9;11;13;15;19;21;22;23;24;25;27;28;29;30;33;34;35;38;39;42;43;44;45;52;54;55;56;57;58;59;60,TIER 1 — DIRECT,1945-05-01,training / tactical exercise,"A,B,C",FdU Ausbildung,TF 24,Potsdam (1 May),https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030698,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
10,C078,FUENFTEUUUFLOTT,15,29,1;3;4;6;8;10;17;19;20;25;27;31;32;34;37;38;39;40;41;42;43;49;50;51;52;53;55;57;58,TIER 1 — DIRECT,1945-04-30/1945-05-01,training / tactical exercise,"A,B",5. U-Fl.,U-2517,solved U-534 corpus,https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=ULTRA,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
11,C034,FEINDBESETZT,12,38,1;4;6;11;14;16;18;19;20;21;22;23;24;25;26;27;29;30;31;32;34;35;36;37;39;41;44;46;49;51;53;54;55;56;57;58;59;61,TIER 1 — DIRECT,1945-05-01,port / harbour,"B,C",10. Sicherungsdivision,Alle,Potsdam (1 May),https://enigma.hoerenberg.com/index.php?cat=The+U534+messages&page=P1030694,AUTHENTIC_CRIB_NOT_ASSERTED_AS_P1030680_PLAINTEXT,Test independently at listed no-self-encryption-surviving offsets; do not concatenate with other cribs unless running an explicit constellation test.
